Does your family have a student eligible for bus service in 2022-2023?,Do you plan on using bus service in 2022-2023?,"As of April 2022, which of these best describes your student/s bus service ? (Select all that apply)","If bus service was not available in 2022-2023, would your student/s need assistance finding alternate transportation options?","Taking the current level of bus service into consideration, which of these two options do you prefer for your student/s and family in 2022-2023?","If the 3-tier plan is adopted, would you have students in your household who are split between the 7:30 and 9:30 tier?",Do you anticipate any challenges finding child care or managing your work schedule if the 3-tier plan is adopted?,How far away from school do the student/s in your family live? Select all that apply.,schools
Yes,Yes,Bus route consistently on-time,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,"Less than 1 mile, 3 to 5 miles",Madison
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,John Hay
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Maple
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Lincoln
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Eckstein,View Ridge"
Yes,Yes,Bus route consistently on-time,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,3 to 5 miles,TOPS
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Eckstein,Thorton Creek"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Ballard,Whitman"
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,1 to 3 miles,Thorton Creek
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,3 to 5 miles,Cedar Park
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,3 to 5 miles,Viewlands
Yes,Yes,Bus route consistently on-time,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,3 to 5 miles,Kimball
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Hazel Wolf
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,"Genesee Hill,Madison"
Yes,Yes,Bus route consistently on-time,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Kimball
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,3 to 5 miles,"Hamilton,McDonald"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Genesee Hill
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,"Less than 1 mile, 1 to 3 miles","Genesee Hill,Lafayette,Madison"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,"Bryant,Eckstein"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Salmon Bay
Yes,Yes,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,"1 to 3 miles, Greater than 5 miles","Fairmount Park,Madison"
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Sand Point
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,View Ridge
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Ballard
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,John Stanford
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,McDonald
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Lafayette
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Bryant
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Bailey Gatzert
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Cedar Park
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Greek Lake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Chief Sealth
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Lawton
Yes,No,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Cascadia
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,3 to 5 miles,"Hamilton,McDonald"
Yes,Yes,Bus route consistently on-time,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Louisa Boren K8
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,Dearborn Park
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,3 to 5 miles,"Louisa Boren K8,West Seattle High School"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Bryant
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,West Woodland
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Greek Lake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,"Decatur,Lincoln"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Magnolia
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,"Ballard,Salmon Bay"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,Greek Lake
Yes,Yes,Bus route consistently on-time,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,3 to 5 miles,Madison
Yes,No,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Cedar Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,No,"Less than 1 mile, 1 to 3 miles, 3 to 5 miles","Jane Addams,Lincoln,Sacajawea"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Adams
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Salmon Bay
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, Greater than 5 miles","Cascadia,Hamilton"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McClure
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Dearborn Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Catharine Blaine
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"1 to 3 miles, Greater than 5 miles","Gatewood,Madison"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,View Ridge
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Daniel Bagley
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Gatewood,Madison"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,View Ridge
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Salmon Bay
Yes,Yes,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Gatewood,Madison"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,View Ridge
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Leschi
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Greater than 5 miles,John Stanford
Yes,Yes,Bus route consistently on-time,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,1 to 3 miles,"Jane Addams,View Ridge"
Yes,Yes,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Lawton
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,"Lawton,McClure"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Olympic View
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Whittier
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Cascadia
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Greenwood
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Fairmount Park
Yes,No,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Decatur
Yes,Yes,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"1 to 3 miles, 3 to 5 miles","Jane Addams,Thorton Creek"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Loyal Heights
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Bryant
Yes,No,"Bus route is NOT running. Forced to use other transportation options., Bus route is NOT running. Would not use it even if it were.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,3 to 5 miles,Hamilton
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Coe
Yes,No,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Sacajawea
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,3 to 5 miles,Ballard
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,TOPS
